Year Outflow Elevation
1926 3200 3.67
1927 7420 6.12
1928 5689 5.25
1929 3700 4.00
1930 3780 3.95
1931 2480 3.20
1932 5570 5.00
1933 4520 4.42
1934 1740 2.40
1935 4360 4.40
1936 4690 4.53
1937 3590 3.84
1938 5950 5.32
1939 3230 3.68
1940 3590 4.04
1941 2750 3.48
1942 3890 4.41
1943 6900 6.26
1944 3450 4.03
1945 3940 4.48
1946 3700 4.20
1947 4490 4.78
1948 5580 5.45
1949 5260 5.15
1950 6120 5.76
1951 5090 5.18
1952 5340 5.25
1953 4240 4.58
1954 5580 5.52
1955 4090 4.66
1956 7570 6.54
1957 5270 5.32
1958 3500 4.24
1959 5590 5.47
1960 3210 4.05
1961 3690 4.43
1962 5780 5.73
1963 5230 5.50
1964 6420 6.06
1965 6820 6.47
1966 3570 4.64
1967 6590 6.28
1968 4600 5.28
1969 4500 5.24
1970 6460 6.33
1971 8140 7.06
1972 6880 6.38
1973 3460 4.37
1974 9120 7.34
1975 6360 6.06
1976 5380 5.68
1977 2130 3.45
1978 5400 5.74
1979 3710 4.78
1980 3770 4.78
1981 4250 5.09
1982 7670 7.00
1983 4700 5.40
1984 5080 5.74
1985 3470 4.66
1986 7360 7.01
1987 2000 3.55
1988 2150 3.70
1989 4470 5.20
1990 4290 4.95
1991 5670 5.74
1992 2780 3.94
1993 4700 5.04
1994 3000 3.92
1995 5730 5.70
1996 8730 7.08
1997 9930 7.72
1998 4750 5.20
1999 6720 6.44
2000 4250 4.94
2001 2520 3.56
